symbol,train_win_rate,train_gap_threshold_value
SFL,0.81,3.13
SHILPAMED,0.95,4.33
SCI,0.71,3.33
SHREECEM,0.77,2.88
SHRIRAMCIT,1.0,4.06
SRTRANSFIN,0.68,1.93
SIEMENS,0.6,1.42
SOBHA,0.88,2.84
SOLARINDS,0.88,2.96
SOLARA,0.43,4.1
SONACOMS,0.33,2.56
SONATSOFTW,0.79,3.24
SPANDANA,0.42,4.09
SPICEJET,0.35,4.13
STARCEMENT,0.9,3.76
SBIN,0.51,2.03
SAIL,0.36,1.85
SWSOLAR,0.8,5.24
STLTECH,0.63,3.15
STAR,0.72,2.15
SUDARSCHEM,0.77,4.45
SUMICHEM,0.53,2.91
SPARC,0.78,2.23
SUNPHARMA,0.71,1.7
SUNTV,0.57,2.06
SUNDARMFIN,0.88,2.54
SUNDRMFAST,0.86,3.25
SUNTECK,0.86,3.32
SUPRAJIT,0.92,3.83
SUPREMEIND,0.92,2.34
SUPPETRO,0.69,3.57
SUVENPHAR,0.64,3.59
SUZLON,0.51,3.63
SYMPHONY,0.85,3.08
SYNGENE,0.82,2.09
TCIEXP,0.81,2.98
TCNSBRANDS,0.67,3.96
TTKPRESTIG,0.78,1.66
TV18BRDCST,0.86,3.04
TVSMOTOR,0.91,3.51
TANLA,0.87,6.3
TASTYBITE,0.73,3.63
TATACHEM,0.78,1.55
TATACOFFEE,0.83,2.35
TATACOMM,0.72,2.15
TCS,0.68,1.45
TATACONSUM,0.63,1.76
TATAELXSI,0.75,1.64
TATAMTRDVR,0.69,2.4
TATAMOTORS,0.51,2.3
TATAPOWER,0.67,2.03
TATASTLLP,0.75,2.77
TATASTEEL,0.53,1.89
TEAMLEASE,0.78,2.74
TECHM,0.78,2.32
NIACL,0.71,2.99
RAMCOCEM,0.84,2.54
THERMAX,0.83,2.14
THYROCARE,0.75,2.58
TIMKEN,0.79,1.86
TITAN,0.61,2.08
TORNTPHARM,0.81,2.21
TORNTPOWER,0.76,2.17
TRENT,0.79,2.68
TRIDENT,0.71,6.43
TRITURBINE,0.84,3.47
TIINDIA,0.95,3.37
UCOBANK,0.61,2.99
UFLEX,0.78,2.17
UPL,0.53,1.59
UTIAMC,0.71,1.61
UJJIVAN,0.71,2.62
UJJIVANSFB,0.67,3.75
ULTRACEMCO,0.74,1.51
UNIONBANK,0.62,2.23
UBL,0.86,2.38
MCDOWELL-N,0.56,2.16
VGUARD,0.87,2.01
VMART,0.8,4.0
VIPIND,0.63,2.14
VAIBHAVGBL,0.81,3.23
VAKRANGEE,0.29,3.59
VALIANTORG,1.0,2.17
VTL,0.88,3.62
VARROC,0.59,3.34
VBL,0.76,2.12
VEDL,0.54,2.17
VENKEYS,0.65,2.82
VINATIORGA,0.86,3.5
IDEA,0.7,2.07
VOLTAS,0.58,2.12
WABCOINDIA,0.86,2.86
WELCORP,0.8,2.93
WELSPUNIND,0.83,3.65
WESTLIFE,1.0,3.78
WHIRLPOOL,0.74,2.57
WIPRO,0.57,1.58
WOCKPHARMA,0.65,2.41
YESBANK,0.56,2.29
ZEEL,0.67,1.49
ZENSARTECH,0.92,3.17
ZYDUSWELL,0.93,2.43
ECLERX,0.93,2.86
